split,time_idx,ret_true,ret_pred,Date,Close_true,Close_prev,Close_pred,Close_base,year
TEST,1050,-0.018893868,-0.0063696266,2025-02-04,8901.120117,9070.895508,9013.300902077915,9070.895508,2025
TEST,1051,-0.0054645333,-0.006125372,2025-02-05,8852.612305,8901.120117,8846.763872236446,8901.120117,2025
TEST,1052,-0.019364394,-0.006658479,2025-02-06,8682.835938,8852.612305,8793.86352323392,8852.612305,2025
TEST,1053,0.043722797,-0.006451555,2025-02-07,9070.895508,8682.835938,8626.99831558477,8682.835938,2025
TEST,1054,-0.021622403,-0.006546583,2025-02-10,8876.866211,9070.895508,9011.705932939494,9070.895508,2025
TEST,1055,-0.008230559,-0.0063344403,2025-02-11,8804.104492,8876.866211,8820.814154886464,8876.866211,2025
TEST,1056,0.008230559,-0.0060955263,2025-02-12,8876.866211,8804.104492,8750.602548091227,8804.104492,2025
TEST,1057,-0.016529309,-0.0066227885,2025-02-13,8731.34375,8876.866211,8818.270759374582,8876.866211,2025
TEST,1058,-0.0027816629,-0.0064004594,2025-02-14,8707.089844,8731.34375,8675.638108950108,8731.34375,2025
TEST,1059,0.03825598,-0.00648164,2025-02-17,9046.641602,8707.089844,8650.83623896977,8707.089844,2025
TEST,1060,-0.0026844766,-0.0063421694,2025-02-18,9022.388672,9046.641602,8989.447957071106,9046.641602,2025
TEST,1061,-0.038360924,-0.0061097546,2025-02-19,8682.835938,9022.388672,8967.43170145389,9022.388672,2025
TEST,1062,0.005571085,-0.006617329,2025-02-20,8731.34375,8682.835938,8625.568359881947,8682.835938,2025
TEST,1063,0.0,-0.006439221,2025-02-21,8731.34375,8731.34375,8675.300871189684,8731.34375,2025
TEST,1064,-0.00836831,-0.006475707,2025-02-24,8658.582031,8731.34375,8674.983930146322,8731.34375,2025
TEST,1065,-0.011267693,-0.006294416,2025-02-25,8561.567383,8658.582031,8604.2525409949,8658.582031,2025
TEST,1066,-0.0056818747,-0.0060699694,2025-02-26,8513.05957,8561.567383,8509.756712310582,8561.567383,2025
TEST,1067,-0.028903723,-0.006614754,2025-02-27,8270.522461,8513.05957,8456.933569589844,8513.05957,2025
TEST,1068,-0.011799512,-0.006421694,2025-02-28,8173.507813,8270.522461,8217.581840896273,8270.522461,2025
TEST,1069,0.043548208,-0.0065249614,2025-03-03,8537.313477,8173.507813,8120.349273167439,8173.507813,2025
TEST,1070,0.005665778,-0.006401321,2025-03-04,8585.821289,8537.313477,8482.838108759328,8537.313477,2025
TEST,1071,0.016807126,-0.0061425557,2025-03-05,8731.34375,8585.821289,8533.244621477254,8585.821289,2025
TEST,1072,-0.0027816629,-0.006655036,2025-03-06,8707.089844,8731.34375,8673.428889362141,8731.34375,2025
TEST,1073,-0.005586647,-0.006441641,2025-03-07,8658.582031,8707.089844,8651.181881645893,8707.089844,2025
TEST,1074,0.0,-0.0064809932,2025-03-10,8658.582031,8658.582031,8602.646979696861,8658.582031,2025
