Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
9/1/2020,5771.082031,5771.082031,5523.244153,5558.649564,67446000
9/2/2020,5695.846191,5806.488114,5633.886715,5771.082699,66065000
9/3/2020,5753.378906,5753.378906,5576.351863,5722.399174,68208500
9/4/2020,5647.163086,5709.122556,5545.372529,5709.122556,80613500
9/7/2020,5563.075195,5629.460341,5487.838697,5607.331959,64249500
9/8/2020,5607.332031,5629.460413,5563.075267,5563.075267,39649000
9/9/2020,5527.669434,5594.054575,5496.689701,5576.351871,49285000
9/10/2020,5142.635742,5505.54119,5142.635742,5505.54119,175735000
9/11/2020,5226.724121,5288.683594,4974.460552,5133.784911,403032500
9/14/2020,5355.067871,5412.601658,5297.534084,5310.811112,138115000
9/15/2020,5186.89209,5399.32453,5186.89209,5346.21642,170087000
9/16/2020,5089.527344,5195.743567,5085.101668,5186.892215,158565500
9/17/2020,5093.953125,5182.466646,5014.290956,5089.527449,138796000
9/18/2020,4983.311523,5076.250726,4930.203408,5045.270992,316912000
9/21/2020,4961.182617,5076.250189,4952.331266,4992.162348,112443000
9/22/2020,4823.987305,4925.777862,4806.284599,4885.946775,163442500
9/23/2020,4872.669922,4943.480747,4801.859096,4823.987479,100517000
9/24/2020,4819.561035,4899.223201,4770.8786,4806.284008,88618500
9/25/2020,4965.608398,4978.885426,4832.83812,4850.540824,100705000
9/28/2020,4881.521484,5040.845848,4868.244454,5001.014757,93522000
9/29/2020,4872.669922,4987.737513,4832.838833,4934.629394,117778500
9/30/2020,4797.433594,4925.778219,4797.433594,4925.778219,107377000
10/1/2020,4930.203613,4930.203613,4850.541436,4854.967113,56893000
10/2/2020,4872.669922,4925.778041,4815.136126,4921.352364,66848000
10/5/2020,4885.946777,4921.352189,4832.83866,4881.521101,58291000
10/6/2020,5045.271484,5058.548515,4956.75795,4983.31201,141955500
10/7/2020,5093.953125,5093.953125,4939.054464,4956.757168,89937500
10/8/2020,5116.081543,5133.784247,5054.122078,5124.932895,77384500
10/9/2020,5111.65625,5111.65625,5062.97381,5089.527868,54250500
10/12/2020,5182.466309,5200.169012,5160.33793,5169.189281,82918500
10/13/2020,5182.466309,5186.891984,5107.229821,5169.189281,48250500
10/14/2020,5222.297363,5222.297363,5142.6352,5169.189255,83117500
10/15/2020,5120.507324,5204.595171,5098.378943,5200.169495,82067000
10/16/2020,5098.378418,5124.932472,5071.824364,5120.506797,89051500
10/19/2020,5222.297363,5222.297363,5054.121685,5089.527091,56871500
10/20/2020,5138.210449,5204.595597,5120.507743,5204.595597,74995500
10/21/2020,5116.081543,5191.318036,5071.824782,5186.89236,77944000
10/22/2020,5133.78418,5133.78418,5049.696335,5080.676067,96872500
10/23/2020,5107.230469,5169.189937,5089.527763,5169.189937,66328000
10/26/2020,5147.061523,5164.764229,5067.39935,5067.39935,70452500
10/27/2020,5124.932617,5160.338024,5093.952886,5147.060996,89482000
11/2/2020,5151.487305,5155.912981,5062.973777,5098.379188,151006500
11/3/2020,5213.446289,5217.871965,5164.763853,5169.189529,78152000
11/4/2020,5151.487305,5257.703538,5120.50757,5222.298127,78626000
11/5/2020,5443.581543,5470.135599,5222.29774,5222.29774,161090000
11/6/2020,5576.352539,5576.352539,5363.920061,5452.433594,137303500
11/9/2020,5563.075195,5664.865752,5501.115726,5576.352224,82739500
11/10/2020,5735.676758,5841.892994,5647.163228,5660.440257,191073500
11/11/2020,5788.784668,5810.91305,5735.676552,5788.784668,131383500
11/12/2020,5682.568359,5748.953504,5669.29133,5673.717007,83082500
11/13/2020,5656.01416,5709.122274,5594.054694,5682.568217,82374500
11/16/2020,5735.676758,5740.102434,5651.588904,5740.102434,54905000
11/17/2020,5797.636719,5810.913749,5744.528596,5753.37995,119784000
11/18/2020,5815.338379,5819.764055,5788.784322,5797.635675,99789000
11/19/2020,5855.169922,5877.298304,5766.656393,5771.08207,147346500
11/20/2020,5841.892578,5886.14934,5797.635816,5877.297988,68468500
11/23/2020,5841.892578,5850.743931,5797.635816,5841.892578,75265500
11/24/2020,5810.912598,5841.89233,5793.209894,5841.89233,72349500
11/25/2020,5673.717285,5828.615963,5647.163226,5824.190286,170140500
11/26/2020,5735.676758,5744.528111,5576.352403,5620.609169,64339000
11/27/2020,5651.588379,5744.527577,5647.162703,5735.676225,87361500
11/30/2020,5492.26416,5664.865532,5430.304693,5651.588503,393091500
12/1/2020,5660.44043,5695.845843,5505.541747,5505.541747,114563500
12/2/2020,5709.12207,5740.101802,5611.757198,5717.973422,93897500
